candidate,election_name,candidate_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct,ward,wp_distric,wp_name,town,town_id,pop_2020,area_miles,perimeter,shape_area,shape_len
"victoria,j.,campbell",school_committee,Victoria,4,232,2383,9.73562736047,1161,19.9827734711456,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
"victoria,j.,campbell",school_committee,Victoria,5,198,2384,8.30536912751678,999,19.8198198198198,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
"victoria,j.,campbell",school_committee,Victoria,6,189,2343,8.06658130601793,978,19.3251533742331,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
"victoria,j.,campbell",school_committee,Victoria,7,100,2038,4.90677134445535,567,17.636684303351,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
"jason,w.,fitzgerald",school_committee,Jason,1,40,1890,2.11640211640212,390,10.2564102564103,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
"jason,w.,fitzgerald",school_committee,Jason,2,127,2346,5.41346973572037,876,14.4977168949772,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
"jason,w.,fitzgerald",school_committee,Jason,3,188,2582,7.28117738187452,1593,11.8016321406152,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
"jason,w.,fitzgerald",school_committee,Jason,4,127,2383,5.32941670163659,1161,10.9388458225668,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
"jason,w.,fitzgerald",school_committee,Jason,5,108,2384,4.53020134228188,999,10.8108108108108,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
"jason,w.,fitzgerald",school_committee,Jason,6,89,2343,3.7985488689714,978,9.10020449897751,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
"jason,w.,fitzgerald",school_committee,Jason,7,70,2038,3.43473994111874,567,12.3456790123457,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
"michael,gowing",school_committee,Michael,1,64,1890,3.38624338624339,390,16.4102564102564,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
"michael,gowing",school_committee,Michael,2,137,2346,5.83972719522592,876,15.6392694063927,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
"michael,gowing",school_committee,Michael,3,164,2582,6.35166537567777,1593,10.2950408035154,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
"michael,gowing",school_committee,Michael,4,133,2383,5.58120016785564,1161,11.4556416881998,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
"michael,gowing",school_committee,Michael,5,119,2384,4.99161073825503,999,11.9119119119119,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
"michael,gowing",school_committee,Michael,6,120,2343,5.12163892445583,978,12.2699386503067,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
"michael,gowing",school_committee,Michael,7,77,2038,3.77821393523062,567,13.5802469135802,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
"leela,gangolli,ramachandran",school_committee,Leela,1,60,1890,3.17460317460317,390,15.3846153846154,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
"leela,gangolli,ramachandran",school_committee,Leela,2,125,2346,5.32821824381927,876,14.2694063926941,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
"leela,gangolli,ramachandran",school_committee,Leela,3,331,2582,12.8195197521301,1593,20.7784055241682,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
"leela,gangolli,ramachandran",school_committee,Leela,4,233,2383,9.7775912715065,1161,20.0689061154177,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
"leela,gangolli,ramachandran",school_committee,Leela,5,215,2384,9.01845637583893,999,21.5215215215215,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
"leela,gangolli,ramachandran",school_committee,Leela,6,224,2343,9.56039265898421,978,22.9038854805726,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
"leela,gangolli,ramachandran",school_committee,Leela,7,88,2038,4.31795878312071,567,15.5202821869489,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
"yanxin,schmidt",school_committee,Yanxin,1,73,1890,3.86243386243386,390,18.7179487179487,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
"yanxin,schmidt",school_committee,Yanxin,2,142,2346,6.05285592497869,876,16.2100456621005,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
"yanxin,schmidt",school_committee,Yanxin,3,241,2582,9.33384972889233,1593,15.1286880100439,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
"yanxin,schmidt",school_committee,Yanxin,4,153,2383,6.42047838858582,1161,13.1782945736434,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
"yanxin,schmidt",school_committee,Yanxin,5,169,2384,7.08892617449664,999,16.9169169169169,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
"yanxin,schmidt",school_committee,Yanxin,6,156,2343,6.65813060179257,978,15.9509202453988,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
"yanxin,schmidt",school_committee,Yanxin,7,106,2038,5.20117762512267,567,18.694885361552,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
"write,in",school_committee,Write,1,0,1890,0,390,0,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
"write,in",school_committee,Write,2,0,2346,0,876,0,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
"write,in",school_committee,Write,3,4,2582,0.154918667699458,1593,0.251098556183302,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
"write,in",school_committee,Write,4,1,2383,0.0419639110365086,1161,0.0861326442721792,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
"write,in",school_committee,Write,5,2,2384,0.0838926174496644,999,0.2002002002002,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
"write,in",school_committee,Write,6,6,2343,0.256081946222791,978,0.613496932515337,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
"write,in",school_committee,Write,7,3,2038,0.14720314033366,567,0.529100529100529,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
